,CEO,CEOscount
0,Marty Mucci,6
1,Arnold Donald,2
2,Sudheesh Nair,1
3,Bob Kramer,2
4,Sanjay Mehrotra,9
5,David Ricks,5
6,Fred Chesnais,1
7,Vlad Coric,1
8,Michael Neidorff,6
9,Frank Calderoni,2
10,Eric Yuan,3
11,James Gorman,4
12,Shantanu Narayen,9
13,Dr. Athena Countouriotis,2
14,Vladimir Tenev,4
15,Rene Lacerte,1
16,Peter Beck,1
17,Harold Hamm,2
18,Bill Berry,1
19,Kenny Dichter,2
20,Ed Bastian,16
21,Nikesh Arora,2
22,Jeffrey Gundlach,3
23,David Abney,7
24,Larry Merlo,5
25,Brian Moynihan,8
26,Kewsong Lee,1
27,Michael Wirth,9
28,Ed Meyercord,1
29,John Waldron,2
30,Dheeraj Pandey,2
31,Dev Ittycheria,2
32,Katrina Lake,2
33,Zander Lurie,4
34,Frank Slootman,2
35,Brad Gerstner,1
36,James Quincey,9
37,Steve Chapman,1
38,Eric Lindberg,1
39,Jim Conroy,4
40,Steve Sanghi,2
41,Don Slager,1
42,George Kurtz,3
43,Michael Mussallem,1
44,Bill Mcdermott,4
45,Brian Niccol,6
46,John Hartung,2
47,Brent Beardall,1
48,Stewart Butterfield,4
49,Dr. Michael Perry,1
50,Baiju Buhatt,2
51,Ynon Kreiz,1
52,Andrew Rees,1
53,Dan Daviau,1
54,Rob Lynch,2
55,Ryan Lance,1
56,Michael Mcgarry,1
57,Rob Bernshteyn,2
58,Keith Block,5
59,Lourenco Goncalves,2
60,Scott Flanders,1
61,Udi Mokady,1
62,Jill Renslow,1
63,Farooq Kathwari,2
64,Manon Roux,1
65,Christine Moseley,1
66,Sean Boyd,2
67,Jim Snee,5
68,Ted Love,1
69,Antonio Neri,4
70,Gary Philbin,3
71,Ellen Kullman,1
72,Joseph Desimone,2
73,Giovanni Caforio,3
74,Xavier Rolet,1
75,Max Levchin,3
76,Stephen Schwarzman,7
77,Michael Silvestro,1
78,Rowan Trollope,3
79,Anthony Noto,5
80,Benno Dorer,3
81,Sasan Goodarzi,2
82,Lisa Su,6
83,Oscar Munoz,13
84,Richard Barton,2
85,Willie Degel,1
86,Tom Rutledge,1
87,Jim Meyer,1
88,Patrick Spence,1
89,Greg Maffei,1
90,Jennifer Tejada,3
91,Adam Selipsky,5
92,Todd Mckinnon,6
93,Ralf Speth,1
94,Brian Cornell,5
95,Jensen Huang,4
96,Gary Friedman,3
97,Marc Benioff,9
98,Vivek Shah,2
99,Neil Blumenthal,1
100,Steve Mollenkopf,3
101,Tom Reeg,1
102,Mikkel Svane,2
103,Brian Chesky,3
104,Chip Bergh,6
105,Robert Locascio,3
106,Jean-Jacques Bienaimé,1
107,Bob Bakish,8
108,Chuck Robbins,8
109,Jay Shah,1
110,Kevin Sayer,6
111,Daniel Schulman,3
112,Paul Tudor Jones,1
113,Dan Schulman,1
114,Julie Wainwright,1
115,John Rainey,2
116,Brendan Kennedy,7
117,Blake Moret,1
118,Michael Dell,2
119,James Foster,1
120,Frank Del Rio,3
121,John Legere,1
122,Unknown,21
123,Kevin Johnson,15
124,Brynn Putnam,1
125,James Taylor,1
126,Bob Iger,8
127,Adam Aron,2
128,Anthony Wood,4
129,Bastian Lehmann,1
130,David Kenny,1
131,Bryan Jordan,3
132,Michael Happe,1
133,Dennis Muilenburg,6
134,Jeff Lawson,8
135,Walter Bettinger,1
136,John Foley,3
137,David Calhoun,4
138,George Pyne,1
139,Neil Sorahan,1
140,Ian Siegel,1
141,Jean-Yves Fillion,2
142,Jeff Sloan,2
143,Carlos Watson,1
144,Marc Lasry,1
145,Tim Doyle,4
146,Liz Dee,1
147,Mark Sutton,2
148,Jim Cline,2
149,Charlie Morrison,3
150,Brad Bao,1
151,John Stankey,2
152,Tom Fanning,2
153,Anders Gustafsson,4
154,Calvin Mcdonald,2
155,Dhivya Suryadevara,1
156,Ethan Brown,4
157,Cheryl Miller,2
158,Tim Brown,1
159,Jay Farner,3
160,Aaron Sanandres,1
161,Sir Richard Branson,2
162,George Whitesides,1
163,Chamath Palihapitiya,2
164,Sallie L. Krawcheck,2
165,Doug Parker,5
166,George Kurian,1
167,Robyn Denholm,2
168,Ron Baron,3
169,Bruce Flatt,1
170,Nick Akins,3
171,Joe Hogan,3
172,Gary Kelly,5
173,Jim Fitterling,3
174,Ned Segal,3
175,John Donahoe,5
176,Jim Foote,3
177,Peter Ingram,2
178,Adena Friedman,3
179,Darius Adamczyk,1
180,Michel Vounatsos,1
181,Lori Cashman,1
182,Suzanne Norris,1
183,Bracken Darrell,4
184,Brian Goldner,8
185,Jeffrey Leiden,1
186,Erik Nordstrom,1
187,David Zaslav,6
188,Kevin Plank,6
189,Patrik Frisk,2
190,Scott Cutler,3
191,Paul Brown,1
192,Warren Huff,1
193,Garry Ridge,1
194,Nick Pinchuk,3
195,Christopher Anzalone,1
196,David Solomon,13
197,Lance Fritz,3
198,Arianna Huffington,1
199,Melissa Smith,1
200,Håkan Samuelsson,1
201,Marcie Frost,1
202,Larry Fink,11
203,Joseph Wolk,2
204,Weijian Shan,1
205,John Hope Bryant,1
206,Mickey Drexler,2
207,Todd Penegor,3
208,Serafin Lion Engel,2
209,Ritch Allison,11
210,Vlad Shmunis,2
211,Nancy Dubuc,1
212,Bill Newlands,7
213,Kasper Rorsted,2
214,John Mcavoy,1
215,David Burritt,1
216,Mark Dixon,1
217,Doug Hirsch,4
218,Marty Mosby,1
219,Jason Robins,2
220,Sheryl Palmer,3
221,Ginni Rometty,7
222,Hans Vestberg,7
223,Steven Mollenkopf,1
224,Andre Calantzopoulos,6
225,Corie Barry,2
226,Justin Gover,2
227,Greg Brown,1
228,Mandy Ginsberg,2
229,Mark Zekulin,3
230,Olive Bäte,1
231,Jay Chaudhry,1
232,Bruce Broussard,2
233,Mark Okerstrom,2
234,Emmanuel Roman,1
235,Mike Pence,1
236,Leon Cooperman,1
237,Mike Gorenstein,1
238,Rich Hume,2
239,Martin Richenhagen,4
240,Glenn Fogel,1
241,Meg Gentle,1
242,Dr. Jayson Dallas,1
243,Whitney Wolfe Herd,1
244,Sanjay Poonen,2
245,Thomas Kurian,1
246,José Almeida,1
247,Howard Lutnick,1
248,Brad Smith,2
249,Dean Stoecker,1
250,Scott Wine,1
251,Imran Khan,2
252,Dexter Goei,1
253,Mike Tuchen,2
254,Doug Merritt,4
255,Charles Meyers,1
256,Lee Bird,1
257,Dan Springer,1
258,Pat Pacious,1
259,Chris Rondeau,2
260,Bruce Kaminstein,1
261,Carmine Di Sibio,1
262,Tyler Lorenzen,2
263,Andrew Anagnos,2
264,Mark Schneider,3
265,Aaron Levie,2
266,Poignonnec,1
267,Bruce Linton,10
268,Alan Murray,1
269,Susan Salka,3
270,James Fish,3
271,Michael Degiglio,1
272,Bill Doyle,1
273,James Hagedorn,1
274,Bob Gamgort,1
275,Strauss Zelnick,4
276,Ajei Gopal,2
277,Drew Houston,1
278,Cord Christensen,2
279,Joey Levin,6
280,Tandem Diabetes Car,1
281,Al Kelly,1
282,Alex Rodriguez,1
283,Erika Nardini,1
284,Josh Silverman,5
285,Irwin Simon,1
286,Tony Xu,1
287,Russell D’Souza,1
288,Stephen Macmillan,1
289,Impossible Foods,1
290,John Van Siclen,1
291,Dan Hart,1
292,Frank Gibeau,2
293,José Cil,2
294,Howard Nye,1
295,Akamai,1
296,Stacey Cunningham,1
297,Mario Gabelli,3
298,Jon Moeller,1
299,Robert Reffkin,1
300,Kevin Conroy,1
301,Clear,1
302,Richard Fain,3
303,Earl Hesterberg,1
304,Adam Singolda,1
305,Jeff Jonas,1
306,David Hoffman,1
307,Evan Greenberg,1
308,Dan Ammann,1
309,Daymond John,1
310,Mike Jackson,2
311,Carol Tomé,2
312,Mark Begor,1
313,Leslie Stretch,1
314,John Ferriola,4
315,Andre Haddad,1
316,Daniel O’Day,1
317,Dennis O’Malley,1
318,Jim Hackett,2
319,Herbert Diess,1
320,Casey Wasserman,1
321,Tim Armstrong,1
322,Simon Enever,1
323,Jeff Harmening,1
324,Jim Whitehurst,2
325,Richard Branson,1
326,Ed Pitoniak,1
327,Tom Siebel,1
328,Richard Gelfond,1
329,Derek Belch,1
330,Alan Armstrong,1
331,Ruzwana Bashir,1
332,Ariel Cohen,1
333,Neil De Crescenzo,1
334,Michael Novogratz,1
335,Chad Robins,1
336,Jon Chamberlain,1
337,Martine Rothblatt,2
338,Craig Menear,1
339,Ken David,2
340,Randy Garutti,2
341,Jim Umpleby,1
342,Mike Mahoney,1
343,Frances Allen,1
344,Jeff Solomon,1
345,Ken Frazier,1
346,Matthew Maddox,1
347,Ren Zhengfei,2
348,Jeff Weiner,2
349,Meg Whitma,1
350,Jeff Katzenberg,1
351,Lynne Doughtie,1
352,David Hager,1
353,Michele Buck,1
354,David Marcus,1
355,Andy Palmer,1
356,Garrett Lord,1
357,Andreas Fibig,3
358,Guillamume Faury,1
359,Greg Hayes,6
360,Sumit Singh,1
361,Jason Kelly,2
362,Ryan Smith,1
363,Micha Kaufman,1
364,Rob Mcnally,1
365,Lynn Good,1
366,Jim Bankoff,1
367,Matt Murphy,1
368,Tom Kennedy,4
369,"Stew Leonard, Jr.,",1
370,Mike Karanikolas,1
371,Michael Mente,1
372,Jim Kamsickas,1
373,Amazon,1
374,Ben Van Beurden,1
375,Jack Hartung,1
376,Douglas Pertz,1
377,Helmy Eltoukhy,1
378,Mike Finley,1
379,Pascal Soriot,1
380,Ed Breen,1
381,Jim Collins,1
382,Maria Fardis,1
383,Aneel Bhusri,4
384,Manny Chirico,6
385,Kevin P Murphy,1
386,Dirk Van De Put,4
387,David Cordani,1
388,Pat Gelsinger,1
389,Kat Cole,1
390,Scott Sheffield,1
391,Kevin P. Murphy,2
392,Michael Brown,1
393,Wade Miquelon,1
394,Steve Easterbrook,4
395,Colin Angle,1
396,Christopher Nassetta,1
397,John Venhuizen,1
398,Ken Moelis,1
399,Andy Levitt,1
400,"R.J. Hottovy,",1
401,Michael Weiss,1
402,Michael Silver,1
403,Palmer Luckey,1
404,Rod Little,1
405,Andy Katz-Mayfield,1
406,Jeff Raider,1
407,Jonathan Ayers,1
408,Vasant Narasimhan,5
409,Rajinder Singh,1
410,Michael Seibel,1
411,Michael O’Leary,1
412,Gary Steele,2
413,Ben Silbermann,3
414,Luis Von Ahn,1
415,Sheryl Sandberg,1
416,Michael Stubblefield,1
417,Steph Korey,1
418,Keller Rinaudo,1
419,Reinout Schakel,1
420,Kelly Kramer,1
421,Tony Atti,1
422,Caryn Seidman-Becker,1
423,Alex Gorsky,5
424,David Perry,1
425,Jeff Green,1
426,Laura Alber,2
427,Dara Khosrowshahi,6
428,Joe Papa,1
429,Tim Buckley,1
430,Bob Sulentic,1
431,Charles Harrington,1
432,Chris Mccann,1
433,Jason Gorevic,1
434,Brian Mariotti,1
435,Larry Robbins,1
436,Tim Cook,2
437,Troy Bader,1
438,David Hoffmann,2
439,Alexis Ohanian,1
440,Jim Weber,1
441,Dan Calkins,1
442,James Park,1
443,Michael Corbat,1
444,Dan Rosensweig,2
445,Tom Leighton,1
446,Harley Finkelstein,2
447,Jean-Sebastian Jacques,1
448,Bob Dudley,4
449,Alan Patricof,1
450,Meg Whitman,1
451,Devin Wenig,1
452,Ron Kruszewski,1
453,Mike Roman,2
454,Scott Rechler,1
455,Rick Mcvey,1
456,Hassane El-Khoury,1
457,Bob Swan,3
458,Matt Maloney,3
459,Carl Liebert,2
460,Brian Roberts,3
461,Tien Tzuo,2
462,Jim Reid-Anderson,2
463,Vicki Hollub,1
464,Joel Anderson,1
465,Kelly King,2
466,Donald Katz,1
467,Klaus Zellmer,1
468,Ana Botin,1
469,Dietmar Exler,1
470,Sean Connolly,1
471,Dan Murphy,1
472,Josh Luber,1
473,Jeffrey Gennette,2
474,Sofi,1
475,Mark Butler,3
476,Michelle Gass,1
477,Jeff Eckel,1
478,David Endicott,1
479,Zak Normandin,1
480,Christopher Paucek,1
481,Robert Azelby,1
482,Doug Mcmillon,3
483,Xuan Yong,1
484,Gina Drosos,2
485,Andreas Raptopoulos,1
486,Howard Lerman,1
487,Daniella Vitale,1
488,Joel Marcus,1
489,Craig Fuller,1
490,Marcela Sapone,1
491,Jessica Beck,1
492,Glenn Kelman,1
493,Marc Casper,1
494,Alan Trefler,1
495,Matthew Desch,1
496,Steve Ritchie,1
497,Jeffrey Smith,1
498,Shaquille O’Neal,1
499,Jennifer Hyman,1
500,Mark Hurd,2
501,Jamie Dimon,7
502,Sylvia Mathews Burwell,2
503,Gary Norcross,1
504,Arne Sorenson,3
505,Steve Hafner,1
506,Mary Dillon,1
507,John Hess,1
508,Joe Kaeser,1
509,Liz Smith Joins,1
510,Masayoshi Son,7
511,Tad Smith,1
512,Sean George,1
513,Brad Tilden,1
514,Ernie Garcia,1
515,Darren Woods,3
516,John Kilduff,1
517,Barbara Humpton,1
518,Takeshi Niinami,1
519,Gary Goldberg,1
520,Timothy Walbert,1
521,Mark Bristow,1
522,Warren Buffett,16
523,Sameer Dholakia,3
524,James A. Squires,2
525,Debra Cafaro,1
526,Ravi Saligram,1
527,Robert Sanchez,1
528,Bernhard Kuhnt,1
529,Deb Cafaro,1
530,John Donovan,2
531,Doug Peterson,2
532,Ted Christie,1
533,David Moatazedi,2
534,Benno O. Dorer,1
535,Bill Rogers,1
536,Mark Thompson,2
537,Gary Zimmerman,1
538,Robert Herjavec,1
539,Carlos Rodriguez,1
540,Jay Craig,1
541,John J. Ferriola,1
542,Rusty Braziel,1
543,Chase Koch,2
544,Ric Fulop,2
545,Robert Kraft,1
546,Acorns,1
547,Tim Sloan,2
548,Robert F. Smith,1
549,Mike Kneeland,1
550,Matthew Flannery,1
551,David Taylor,1
552,Mark Weinberger,2
553,Jim Coulter,1
554,Kaiser Permanente,1
555,Carlos Brito,1
556,Brett Keller,1
557,Jeff Ubben,1
558,Brian Scudamore,1
559,Matt Calkins,1
560,Tony Makuch,2
561,Lew Cirne,1
562,Blackrock,2
563,Rodney Mcmullen,1
564,Mike Manley,1
565,Scott Keogh,1
566,Brenton L. Saunders,1
567,Dr. Vasant Narasimhan,1
568,Robert A. Bradway,3
569,Mary Barra,1
570,Rob Sands,2
571,Joseph Papa,1
572,Dan Eberhart,1
573,Kevin Murphy,2
574,Emma Walmsley,2
575,Marc Lore,2
576,Kevin Mandia,2
577,Avishai Abrahami,1
578,Joe Kiani,1
579,Sarah Friar,1
580,Danny Meyer,1
581,Mark Leavitt,1
582,Joe Ariel,1
583,Greg Creed,3
584,Rich Williams,3
585,Bill Sandbrook,3
586,Josh James,1
587,Robert Bernshteyn,1
588,Gary Heminger,2
589,Michael Petters,1
590,Jeffrey Marrazzo,1
591,Jim Hallett,1
