,Host,Hostscount
0,Jim Cramer,477
1,Sara Eisen,67
2,Wilfred Frost,60
3,Morgan Brennan,93
4,Jon Fortt,86
5,Carl Quintanilla,127
6,Unknown,49
7,Joe Kernen,168
8,Andrew Ross Sorkin,157
9,Scott Wapner,10
10,Frank Holland,3
11,Becky Quick,178
12,David Faber,99
13,Tyler Mathisen,25
14,Bill Griffeth,3
15,Seema Mody,6
16,Kate Rogers,11
17,Michael Santoli,31
18,Contessa Brewer,12
19,Brian Sullivan,15
20,Courtney Reagan,25
21,Meg Tirrell,13
22,Dominic Chu,2
23,Leslie Picker,12
24,Phil Lebeau,37
25,Melissa Lee,38
26,Julia Boorstin,19
27,Sharon Epperson,1
28,Kelly Evans,40
29,Bertha Coombs,3
30,Josh Lipton,4
31,Eric Cantor,1
32,Kayla Tausche,4
33,Deirdre Bosa,13
34,John W. Schoen,1
35,Aditi Roy,2
36,Kevin O’Leary,3
37,Jane Wells,1
38,Diana Olick,1
